QSO_ID Z_EM Z_LLS TAU TAU_ERR LOG_NHI LOG_NHI_ERR_LOW LOG_NHI_ERR_HIGH SAMPLE INSTRUMENT
J1220-0040 1.411 0.976 1.97 -99.0 17.49 -99.0 -99.0 MgII STIS
B1222+2251 2.046 1.174 0.71 0.13 17.05 0.08 0.08 PLLS FOS-H
J1224+0037 1.482 1.364 0.68 0.07 17.03 0.04 0.05 PLLS STIS
J1224+0037 1.482 1.268 2.69 -99.0 17.63 -99.0 -99.0 MgII STIS
B1225+3145 2.219 1.796 5.75 -99.0 17.96 -99.0 -99.0 R1,R2 FOS-H
J1228+1018 2.305 0.939 0.69 -99.0 17.04 -99.0 -99.0 MgII STIS
J1232-0224 1.045 0.832 1.26 0.08 17.3 0.03 0.03 21cm FOS-L
J1232-0224 1.045 0.772 0.51 0.09 16.92 0.09 0.07 21cm FOS-L
J1308+3005 0.803 0.821 2.93 0.22 17.67 0.03 0.03 Prox FOS-L
J1313-2716 2.186 1.684 4.34 -99.0 17.84 -99.0 -99.0 R1,R2 STIS
J1319+2728 1.014 0.661 3.08 0.26 17.69 0.04 0.04 R1,R2 FOS-L
B1320+2925 0.96 0.872 1.37 0.12 17.34 0.04 0.04 R1 FOS-L
J1321+1106 2.181 1.849 2.63 -99.0 17.62 -99.0 -99.0 R2 STIS
J1321+2847 1.703 1.135 2.56 0.26 17.61 0.04 0.04 R1,R2 FOS-L
J1322+4739 1.554 1.435 1.27 0.04 17.31 0.02 0.01 R1 STIS
J1322+4739 1.554 1.078 2.44 -99.0 17.59 -99.0 -99.0 R1,R2 STIS
B1323+6530 1.618 1.609 4.18 -99.0 17.82 -99.0 -99.0 Prox FOS-H
B1329+4117 1.93 1.841 0.38 0.03 16.78 0.03 0.04 PLLS FOS-H
B1329+4117 1.93 1.602 1.02 0.04 17.21 0.02 0.02 MgII FOS-H
B1329+4117 1.93 1.283 2.76 -99.0 17.64 -99.0 -99.0 MgII FOS-H
B1334-0033 2.783 2.201 0.81 0.03 17.12 0.02 0.01 PLLS FOS-H
J1341+0059 1.714 1.597 3.25 -99.0 17.71 -99.0 -99.0 R1,R2 STIS
J1341+4123 1.204 1.063 0.58 0.04 16.97 0.04 0.03 PLLS FOS-L
J1351-0007 1.444 1.159 3.67 -99.0 17.76 -99.0 -99.0 R1,R2 FOS-L
J1354+0052 1.121 0.666 3.74 -99.0 17.77 -99.0 -99.0 R1,R2 FOS-L
J1404-0130 2.522 1.719 3.56 -99.0 17.75 -99.0 -99.0 R1,R2 STIS
J1419-0036 0.969 0.823 1.32 -99.0 17.32 -99.0 -99.0 MgII STIS
J1420-0054 1.458 1.348 3.66 -99.0 17.76 -99.0 -99.0 MgII STIS
J1423+3252 1.905 1.491 3.46 0.11 17.74 0.01 0.02 R1,R2 STIS
