QSO_ID QSO_RA QSO_DEC Z_EM R1_ZMIN R1_ZMAX R2_ZMIN R2_ZMAX
J1041+0610 160.32167053 6.171278 1.265 0.514 1.242 0.502 1.242
J1042+1203 160.68583679 12.05869484 1.028 0.714 1.008 0.619 1.008
J1048+0032 162.21888733 0.54149997 1.649 1.194 1.623 1.194 1.623
J1054-0020 163.67062378 -0.34698001 1.021 -99.0 -99.0 0.952 1.001
J1058+1951 164.57458496 19.86416626 1.11 1.037 1.089 1.037 1.089
J1103+3715 165.9571228 37.25708389 1.295 1.239 1.272 1.239 1.272
J1107+0048 166.8709259 0.80286002 1.391 0.919 1.367 0.831 1.367
J1107+1628 166.8125 16.46733284 0.632 0.483 0.616 0.483 0.616
J1108+3133 167.00541687 31.55899429 2.244 1.194 2.212 1.194 2.212
J1109+0051 167.40150452 0.85289001 0.957 0.834 0.937 0.803 0.937
J1110+3019 167.66770935 30.3194313 1.521 1.245 1.496 1.085 1.496
J1125+5910 171.47438049 59.17255402 0.852 0.259 0.833 0.259 0.833
J1130-1449 172.5292511 -14.82433319 1.187 0.502 1.165 0.502 1.165
J1139-1350 174.79458618 -13.84530544 0.554 -99.0 -99.0 0.497 0.538
J1143+3452 175.78671265 34.87297058 3.13 0.556 0.88 0.556 0.88
J1150-0023 177.68275452 -0.3986389 1.98 0.502 1.751 0.502 1.751
J1151+3825 177.87203979 38.4314003 1.304 0.544 1.281 0.489 1.281
J1208+4540 182.2416687 45.67666626 1.155 0.767 1.133 0.502 1.133
J1211+1030 182.91925049 10.50069427 2.193 0.698 1.751 0.636 1.751
J1218+1105 184.60874939 11.08480549 1.403 1.08 1.379 0.572 1.379
J1220+3343 185.14112854 33.72014618 1.532 1.502 1.507 1.415 1.507
J1220-0040 185.15429688 -0.67609 1.411 0.963 1.387 0.963 1.387
J1224+0037 186.05955505 0.61886001 1.482 1.268 1.457 1.268 1.457
J1225+0035 186.48588562 0.59277999 1.226 1.099 1.204 1.038 1.204
J1225-0052 186.49351501 -0.87418002 0.964 0.91 0.944 0.844 0.944
J1226-0006 186.53358459 -0.10086 1.118 -99.0 -99.0 1.077 1.097
J1228+1018 187.15379333 10.31171131 2.305 1.392 2.272 1.126 2.272
J1232-0224 188.00036621 -2.40210176 1.038 0.761 1.018 0.485 1.018
J1247+3209 191.83667083 32.150275 0.949 0.756 0.93 0.5 0.93
J1254+1141 193.65916443 11.68502808 0.87 0.57 0.851 0.5 0.851
J1313-2716 198.44717407 -27.28030205 2.186 1.684 2.154 1.684 2.154
J1319+2728 199.98458862 27.46899986 1.014 0.661 0.994 0.661 0.994
J1319+5148 199.94262695 51.80169296 1.055 0.687 1.034 0.5 1.034
J1321+1106 200.32867432 11.11359978 2.181 1.971 2.149 1.849 2.149
J1321+2847 200.31140137 28.79685593 1.703 1.135 1.676 1.135 1.676
J1322+4739 200.66387939 47.65776825 1.554 1.072 1.528 1.072 1.528
J1322+4739b 200.71133423 47.66015244 1.101 0.921 1.08 0.753 1.08
