# z Dz sumDX nabs lx bmlxlci_68.3 bmlxhci_68.3 bmlxlci_95.0 bmlxhci_95.0 Omega bmOlci_68.3 bmOhci_68.3 bmOlci_95.0 bmOhci_95.0
3.550 0.646 2079 184 0.089 0.082 0.095 0.076 0.102 0.705 0.696 0.874 0.632 0.997
3.560 0.646 2050 181 0.088 0.082 0.095 0.076 0.102 0.712 0.704 0.884 0.638 1.013
3.570 0.645 2019 180 0.089 0.083 0.096 0.077 0.103 0.712 0.707 0.886 0.640 1.007
3.580 0.644 1968 175 0.089 0.082 0.096 0.076 0.103 0.698 0.693 0.874 0.627 0.997
3.590 0.643 1955 173 0.088 0.082 0.095 0.076 0.102 0.695 0.684 0.867 0.619 0.996
3.600 0.643 1924 170 0.088 0.082 0.095 0.076 0.102 0.693 0.681 0.863 0.617 0.993
3.610 0.641 1875 161 0.086 0.079 0.093 0.073 0.100 0.681 0.670 0.853 0.603 0.983
3.620 0.640 1831 156 0.085 0.078 0.092 0.072 0.099 0.688 0.678 0.869 0.607 1.005
3.630 0.640 1808 155 0.086 0.079 0.093 0.073 0.100 0.697 0.687 0.877 0.618 1.019
3.640 0.639 1776 153 0.086 0.079 0.093 0.073 0.100 0.711 0.696 0.895 0.624 1.040
3.650 0.638 1752 150 0.086 0.079 0.093 0.072 0.100 0.690 0.677 0.871 0.609 1.013
3.660 0.638 1716 144 0.084 0.077 0.091 0.071 0.098 0.682 0.667 0.866 0.598 1.015
3.670 0.637 1684 140 0.083 0.076 0.090 0.070 0.097 0.671 0.651 0.853 0.581 0.995
3.680 0.636 1646 136 0.083 0.076 0.090 0.069 0.097 0.672 0.654 0.862 0.585 1.000
3.690 0.636 1638 134 0.082 0.075 0.089 0.069 0.096 0.670 0.657 0.859 0.586 1.015
3.700 0.635 1597 132 0.083 0.075 0.090 0.069 0.097 0.667 0.644 0.854 0.574 1.006
3.710 0.634 1576 132 0.084 0.077 0.091 0.070 0.099 0.697 0.678 0.894 0.600 1.052
3.720 0.633 1527 129 0.084 0.077 0.092 0.071 0.100 0.702 0.680 0.902 0.604 1.060
3.730 0.632 1501 128 0.085 0.078 0.093 0.071 0.101 0.704 0.679 0.903 0.601 1.075
3.740 0.632 1476 126 0.085 0.078 0.093 0.071 0.101 0.701 0.674 0.902 0.596 1.075
3.750 0.631 1456 125 0.086 0.078 0.093 0.071 0.101 0.708 0.682 0.913 0.601 1.091
3.760 0.631 1422 122 0.086 0.078 0.093 0.071 0.102 0.696 0.674 0.902 0.596 1.080
3.770 0.630 1398 122 0.087 0.079 0.095 0.072 0.103 0.708 0.684 0.921 0.605 1.099
3.780 0.629 1369 120 0.088 0.080 0.096 0.073 0.104 0.720 0.696 0.938 0.616 1.119
3.790 0.629 1344 119 0.089 0.080 0.097 0.073 0.105 0.731 0.706 0.955 0.625 1.142
3.800 0.628 1328 117 0.088 0.080 0.096 0.073 0.105 0.737 0.712 0.961 0.628 1.147
3.810 0.627 1283 110 0.086 0.078 0.094 0.070 0.102 0.715 0.687 0.939 0.602 1.122
3.820 0.626 1265 109 0.086 0.078 0.094 0.071 0.103 0.720 0.693 0.945 0.607 1.124
3.830 0.626 1245 109 0.088 0.079 0.096 0.072 0.105 0.731 0.704 0.965 0.620 1.159
3.840 0.625 1223 109 0.089 0.081 0.098 0.073 0.107 0.740 0.710 0.965 0.620 1.154
3.850 0.624 1187 106 0.089 0.081 0.098 0.073 0.107 0.706 0.678 0.931 0.598 1.124
3.860 0.624 1174 105 0.089 0.081 0.098 0.073 0.107 0.697 0.669 0.921 0.590 1.137
3.870 0.623 1154 102 0.088 0.080 0.097 0.072 0.106 0.698 0.670 0.925 0.587 1.127
3.880 0.623 1139 101 0.089 0.080 0.097 0.072 0.107 0.703 0.672 0.928 0.589 1.125
3.890 0.622 1109 102 0.092 0.083 0.101 0.075 0.111 0.708 0.676 0.932 0.590 1.140
3.900 0.622 1097 101 0.092 0.083 0.101 0.075 0.111 0.714 0.679 0.935 0.598 1.137
3.910 0.621 1065 98 0.092 0.083 0.101 0.075 0.111 0.715 0.679 0.941 0.595 1.174
3.920 0.620 1046 95 0.091 0.081 0.100 0.073 0.110 0.717 0.676 0.942 0.589 1.164
3.930 0.620 1037 94 0.091 0.081 0.100 0.073 0.110 0.721 0.683 0.952 0.593 1.173
3.940 0.619 1006 89 0.088 0.079 0.098 0.071 0.108 0.723 0.681 0.962 0.592 1.191
3.950 0.618 1000 88 0.088 0.079 0.097 0.071 0.107 0.736 0.695 0.982 0.603 1.231
3.960 0.617 973 81 0.083 0.074 0.092 0.066 0.102 0.713 0.673 0.960 0.582 1.219
3.970 0.617 958 80 0.083 0.074 0.093 0.066 0.103 0.719 0.679 0.963 0.586 1.191
3.980 0.616 942 80 0.085 0.075 0.094 0.067 0.104 0.724 0.681 0.970 0.588 1.207
3.990 0.616 927 80 0.086 0.077 0.096 0.068 0.106 0.756 0.714 1.016 0.614 1.289
4.000 0.615 907 77 0.085 0.075 0.094 0.067 0.105 0.737 0.694 0.997 0.598 1.269
4.010 0.614 892 74 0.083 0.073 0.092 0.065 0.103 0.728 0.680 0.991 0.583 1.259
4.020 0.614 875 72 0.082 0.073 0.092 0.064 0.102 0.746 0.693 1.009 0.596 1.269
4.030 0.613 853 70 0.082 0.072 0.092 0.064 0.102 0.683 0.637 0.905 0.544 1.113
4.040 0.613 845 72 0.085 0.075 0.095 0.067 0.106 0.748 0.698 0.999 0.597 1.230
4.050 0.612 834 70 0.084 0.074 0.094 0.065 0.105 0.714 0.670 0.965 0.574 1.196
4.060 0.611 817 67 0.082 0.072 0.092 0.064 0.103 0.682 0.633 0.915 0.539 1.143
4.070 0.610 792 65 0.082 0.072 0.092 0.063 0.103 0.670 0.623 0.894 0.535 1.112
4.080 0.610 785 65 0.083 0.073 0.093 0.064 0.104 0.675 0.634 0.902 0.543 1.133
4.090 0.609 769 64 0.083 0.073 0.093 0.064 0.105 0.685 0.641 0.925 0.549 1.149
4.100 0.609 757 63 0.083 0.073 0.094 0.064 0.105 0.682 0.629 0.910 0.537 1.129
4.110 0.608 738 61 0.083 0.072 0.093 0.063 0.105 0.678 0.633 0.919 0.538 1.140
4.120 0.608 733 61 0.083 0.073 0.094 0.064 0.105 0.681 0.638 0.924 0.545 1.157
4.130 0.607 714 60 0.084 0.073 0.095 0.064 0.106 0.657 0.612 0.884 0.524 1.120
4.140 0.606 703 59 0.084 0.073 0.095 0.064 0.107 0.660 0.616 0.896 0.526 1.156
4.150 0.606 692 59 0.085 0.074 0.096 0.065 0.108 0.665 0.622 0.908 0.533 1.157
4.160 0.605 679 58 0.085 0.074 0.096 0.065 0.109 0.672 0.629 0.915 0.533 1.145
4.170 0.605 664 57 0.086 0.074 0.097 0.065 0.109 0.638 0.600 0.878 0.513 1.140
